kakuyomu.jp	bbr	Cloudfront
kalam.sindonews.com	bbr	Cloudfront
kalyanpanelchart.in	bbr	Cloudflare
kamigame.jp	bbr	Cloudfront
kanesex.com	bbr	Cloudflare
kannada.news18.com	bbr	Akamai
kantotin.com	bbr	Cloudflare
kargotakip.trendyol.com	unkown-all-invalid	Cloudflare
kasta.ua	unkown-all-invalid	Cloudfront
katene.chuden.jp	unkown-all-invalid	Akamai
katmoviehd.cat	bbr	Cloudflare
kayatan.tv	unknown	Cloudflare
kbhgames.com	bbr	Cloudflare
keepsclean.com	unkown-all-invalid	
keirin.jp	unknown	Cloudfront
kepco.jp	unkown-all-invalid	Akamai
kesehatan.kontan.co.id	bbr	Cloudfront
kickasstorrents.to	unknown	Cloudflare
kidshealth.org	unkown-all-invalid	
kinhtechungkhoan.vn	bbr	Cloudflare
kinogo.biz	unkown-all-invalid	
kinogo.io	bbr	Cloudflare
kinokrad.cc	bbr	Cloudflare
kinotochka.co	unkown-all-invalid	Cloudflare
kinozal.tv	bbr	Cloudflare
kiryuu.id	bbr	Cloudflare
kissasian.pe	unknown	Cloudflare
kite.zerodha.com	unknown	Cloudflare
kivitu.com	cubic	
kk.m.wikipedia.org	unkown-all-invalid	
klops.ru	bbr	Cloudflare
kokonkrislo.com	unkown-all-invalid	
kolkata-ff.org	bbr	
kolkataff.fun	bbr	Cloudflare
kolkataff.in	unknown	Cloudflare
komiku.com	bbr	Cloudflare
kompoz2.com	unknown	Cloudflare
konto.onet.pl	unknown	Cloudfront
kooora365.com	bbr	Cloudflare
korrespondent.net	unkown-all-invalid	Cloudflare
kotaku.com	cubic	Fastly
kr.7msport.com	unknown	Cloudflare
krzyzowki123.pl	unknown	Cloudflare
kunmanga.com	bbr	Cloudflare
kuruma-news.jp	bbr	Cloudfront
kz.hentailib.me	bbr	Cloudflare
l-tike.com	bbr	Akamai
la.spankbang.com	bbr	Cloudflare
la100.cienradios.com	bbr	Akamai
la1ere.francetvinfo.fr	bbr	Akamai
lagged.com	bbr	Cloudflare
landing.spicevids.com	bbr	
lapalabradeldia.com	unknown	Cloudflare
lapkjogos.com	unkown-all-invalid	Cloudflare
larepublica.pe	bbr	Amazon AWS
laser247.com	unknown	Cloudflare
launchpad.classlink.com	cdg	Cloudfront
lausdschoology.azurewebsites.net	unknown	
lbschools.instructure.com	unknown	Cloudflare
le10sport.com	bbr	Cloudflare
learnenglish.britishcouncil.org	bbr	Akamai
lectormanga.com	unkown-all-invalid	Cloudflare
lectortmo.com	unkown-all-invalid	Cloudflare
lee.hpplus.jp	bbr	Cloudfront
leetcode.com	unknown	Cloudflare
lelscans.net	unknown	Cloudflare
letterboxd.com	unknown	Cloudflare
leverageedu.com	bbr	Cloudfront
levvvel.com	bbr	Cloudflare
libero.pe	bbr	Cloudfront
librefutboltv.com	unkown-all-invalid	Cloudflare
licindia.in	bbr	BitGravity
liebelib.net	unknown	Cloudflare
lifehacker.ru	bbr	Cloudflare
lingojam.com	bbr	Cloudflare
link.springer.com	unknown	Fastly
linkmake.in	unkown-all-invalid	Cloudflare
links2.futemais.net	unkown-all-invalid	Cloudflare
linktr.ee	cubic	Fastly
linkvertise.com	unknown	Cloudflare
liquipedia.net	bbr	
liteapks.com	bbr	Cloudflare
litequran.net	cdg	Cloudflare
litgorod.ru	unkown-all-invalid	
litmarket.ru	unkown-all-invalid	Cloudflare
live.bilibili.com	unkown-all-invalid	
live.fc2.com	cubic	
live.kufu.co.jp	unknown	Cloudfront
livescore.co.kr	unkown-all-invalid	Cloudflare
lms-courses.pegaso.multiversity.click	unkown-all-invalid	Cloudfront
lms.human.ua	bbr	Cloudflare
lms30.santillanacompartir.com	unkown-all-invalid	Cloudfront
login.aol.com	cubic	Yahoo
login.chumbacasino.com	unkown-all-invalid	Cloudfront
login.icevonline.com	unkown-all-invalid	
login.xfinity.com	unkown-all-invalid	Akamai
login.yahoo.com	cubic	Yahoo
lokmat.news18.com	bbr	Akamai
lol.fandom.com	unkown-all-invalid	Fastly
lookerstudio.google.com	unkown-all-invalid	Google
losangeles.craigslist.org	unknown	
loteriasdehoy.co	unknown	Cloudflare
lotterysambad.one	unknown	Cloudflare
lotterysambadnagaland.in	bbr	Cloudflare
lotterysambadresult.in	bbr	Cloudflare
lottostar.co.za	cubic	
love4porn.com	bbr	Cloudflare
lubimyczytac.pl	unkown-all-invalid	Cloudflare
ludoplayers.com	unkown-all-invalid	Cloudfront
ludzie.fakt.pl	bbr	Cloudfront
lunatgl888.net	unkown-all-invalid	Cloudflare
lyricstranslate.com	bbr	BunnyCDN
m.23ts.org	unkown-all-invalid	Cloudflare
m.9bob.net	bbr	Cloudflare
m.adam4adam.com	unknown	Cloudflare
m.aksam.com.tr	bbr	Cloudflare
m.alibaba.com	unkown-all-invalid	Akamai
m.alza.cz	bbr	Cloudflare
m.animeflv.net	unknown	
m.anysex.com	unknown	Cloudflare
m.apkpure.com	bbr	Cloudflare
m.appvideocall.com	unkown-all-invalid	Cloudflare
m.bazar.bg	bbr	Cloudflare
m.beboo.ru	unknown	Cloudflare
m.betflag.it	unknown	Akamai
m.betking.com	unkown-all-invalid	Cloudflare
