0 0 0
1 1 1
2 1 2
3 1 3
6 2 4
7 1 5
9 2 6
21 9 7
22 1 8
25 1 9
48 5 10
51 1 11
63 8 12
66 2 13
69 2 14
70 1 15
77 4 16
80 1 17
216 83 18
316 92 19
497 180 20
690 189 21
857 151 22
1016 153 23
1145 127 24
1300 129 25
1429 125 26
1562 129 27
1693 127 28
1820 125 29
1951 127 30
2082 125 31
2213 125 32
2348 127 33
2481 129 34
2610 129 35
2733 123 36
2863 125 37
2959 91 38
3061 91 39
3152 89 40
3245 89 41
3342 89 42
3435 89 43
3527 88 44
3554 24 45
3714 91 46
3807 89 47
3900 89 48
3995 91 49
4086 89 50
