0 0 0
1 1 1
2 1 2
3 1 3
6 2 4
7 1 5
8 1 6
21 9 7
22 1 8
25 1 9
49 6 10
51 1 11
62 7 12
66 2 13
68 1 14
71 2 15
79 6 16
82 3 17
221 88 18
315 91 19
501 184 20
691 190 21
859 153 22
990 127 23
1169 151 24
1296 125 25
1431 127 26
1558 125 27
1693 127 28
1822 127 29
1951 127 30
2082 125 31
2221 133 32
2350 129 33
2479 127 34
2606 125 35
2719 109 36
2860 122 37
2957 89 38
3020 50 39
3154 91 40
3245 89 41
3342 89 42
3435 89 43
3530 91 44
3621 91 45
3712 89 46
3807 89 47
3828 17 48
3993 89 49
4090 93 50
