0 0 0
1 1 1
2 1 2
3 1 3
6 2 4
7 1 5
8 1 6
21 9 7
23 2 8
25 1 9
50 7 10
51 1 11
61 6 12
66 2 13
68 1 14
70 1 15
77 4 16
98 19 17
219 86 18
316 92 19
494 177 20
702 201 21
859 153 22
1014 151 23
1145 127 24
1304 133 25
1431 127 26
1558 125 27
1693 127 28
1820 125 29
1952 128 30
2084 127 31
2215 127 32
2348 127 33
2477 125 34
2606 125 35
2699 89 36
2861 123 37
2970 102 38
3059 89 39
3152 89 40
3245 89 41
3342 89 42
3435 89 43
3528 89 44
3535 5 45
3712 89 46
3809 91 47
3902 91 48
3995 91 49
4086 89 50
