0 0 0
1 1 1
2 1 2
3 1 3
6 2 4
7 1 5
12 5 6
21 9 7
23 2 8
25 1 9
47 4 10
51 1 11
63 8 12
65 1 13
68 1 14
70 1 15
79 6 16
83 4 17
220 87 18
316 92 19
497 180 20
704 203 21
857 151 22
1014 151 23
1143 125 24
1298 127 25
1431 127 26
1560 127 27
1693 127 28
1822 127 29
1951 127 30
2082 125 31
2215 127 32
2350 129 33
2477 125 34
2606 125 35
2715 105 36
2766 28 37
2957 89 38
3059 89 39
3152 89 40
3249 93 41
3342 89 42
3439 93 43
3512 73 44
3537 7 45
3714 91 46
3807 89 47
3900 89 48
3993 89 49
4088 91 50
