0 0 0
1 1 1
2 1 2
3 1 3
5 1 4
7 1 5
8 1 6
21 9 7
22 1 8
25 1 9
50 7 10
51 1 11
61 6 12
65 1 13
68 1 14
71 2 15
78 5 16
83 4 17
223 90 18
317 93 19
497 180 20
702 201 21
859 153 22
1016 153 23
1149 131 24
1300 129 25
1433 129 26
1561 128 27
1692 126 28
1824 129 29
1951 127 30
2084 127 31
2215 127 32
2348 127 33
2477 125 34
2571 90 35
2738 128 36
2829 91 37
2957 89 38
3059 89 39
3154 91 40
3245 89 41
3346 93 42
3435 89 43
3455 16 44
3623 93 45
3712 89 46
3807 89 47
3819 8 48
3995 91 49
4088 91 50
