0 0 0
1 1 1
2 1 2
3 1 3
6 2 4
7 1 5
8 1 6
21 9 7
22 1 8
25 1 9
49 6 10
51 1 11
63 8 12
66 2 13
68 1 14
73 4 15
75 2 16
82 3 17
217 84 18
317 93 19
494 177 20
706 205 21
857 151 22
1016 153 23
1169 151 24
1298 127 25
1429 125 26
1566 133 27
1692 126 28
1820 125 29
1951 127 30
2086 129 31
2215 127 32
2352 131 33
2479 127 34
2606 125 35
2699 89 36
2847 109 37
2957 89 38
3059 89 39
3152 89 40
3245 89 41
3342 89 42
3437 91 43
3528 89 44
3619 89 45
3714 91 46
3809 91 47
3902 91 48
3993 89 49
4088 91 50
