0 0 0
1 1 1
2 1 2
3 1 3
5 1 4
7 1 5
8 1 6
21 9 7
23 2 8
26 2 9
47 4 10
51 1 11
62 7 12
65 1 13
69 2 14
70 1 15
76 3 16
83 4 17
219 86 18
316 92 19
495 178 20
681 180 21
857 151 22
990 127 23
1145 127 24
1300 129 25
1429 125 26
1560 127 27
1693 127 28
1822 127 29
1951 127 30
2083 126 31
2215 127 32
2346 125 33
2481 129 34
2606 125 35
2732 122 36
2829 91 37
2957 89 38
3063 93 39
3152 89 40
3247 91 41
3342 89 42
3435 89 43
3510 71 44
3560 30 45
3718 95 46
3809 91 47
3904 93 48
3997 93 49
4088 91 50
