0 0 0
1 1 1
2 1 2
4 2 3
6 2 4
7 1 5
8 1 6
20 8 7
22 1 8
25 1 9
48 5 10
51 1 11
62 7 12
66 2 13
69 2 14
73 4 15
76 3 16
80 1 17
218 85 18
315 91 19
494 177 20
678 177 21
714 8 22
1018 155 23
1143 125 24
1298 127 25
1429 125 26
1562 129 27
1691 125 28
1820 125 29
1951 127 30
2084 127 31
2217 129 32
2350 129 33
2479 127 34
2606 125 35
2735 125 36
2845 107 37
2957 89 38
3059 89 39
3152 89 40
3245 89 41
3344 91 42
3435 89 43
3530 91 44
3619 89 45
3714 91 46
3809 91 47
3902 91 48
3995 91 49
4087 90 50
