0 0 0
1 1 1
2 1 2
4 2 3
6 2 4
7 1 5
12 5 6
21 9 7
24 3 8
43 19 9
50 7 10
55 5 11
64 9 12
67 3 13
69 2 14
73 4 15
79 6 16
133 54 17
224 91 18
317 93 19
501 184 20
706 205 21
863 157 22
1018 155 23
1171 153 24
1304 133 25
1433 129 26
1566 133 27
1695 129 28
1824 129 29
1957 133 30
2088 131 31
2221 133 32
2352 131 33
2481 129 34
2610 129 35
2738 128 36
2868 130 37
2970 102 38
3063 93 39
3156 93 40
3253 97 41
3346 93 42
3439 93 43
3530 91 44
3623 93 45
3718 95 46
3811 93 47
3904 93 48
3997 93 49
4090 93 50
