0 0 0
1 1 1
2 1 2
3 1 3
5 1 4
7 1 5
8 1 6
21 9 7
24 3 8
25 1 9
47 4 10
53 3 11
64 9 12
66 2 13
68 1 14
70 1 15
78 5 16
83 4 17
224 91 18
316 92 19
496 179 20
698 197 21
863 157 22
1014 151 23
1171 153 24
1296 125 25
1431 127 26
1560 127 27
1693 127 28
1820 125 29
1951 127 30
2086 129 31
2215 127 32
2350 129 33
2481 129 34
2606 125 35
2735 125 36
2827 89 37
2959 91 38
3059 89 39
3156 93 40
3247 91 41
3344 91 42
3437 91 43
3465 26 44
3621 91 45
3714 91 46
3811 93 47
3900 89 48
3993 89 49
4088 91 50
