0 0 0
1 1 1
2 1 2
3 1 3
5 1 4
7 1 5
8 1 6
20 8 7
23 2 8
25 1 9
49 6 10
53 3 11
62 7 12
66 2 13
69 2 14
70 1 15
77 4 16
133 54 17
220 87 18
315 91 19
497 180 20
688 187 21
859 153 22
990 127 23
1145 127 24
1296 125 25
1429 125 26
1562 129 27
1691 125 28
1824 129 29
1957 133 30
2082 125 31
2217 129 32
2350 129 33
2477 125 34
2572 91 35
2709 99 36
2855 117 37
2959 91 38
3059 89 39
3154 91 40
3247 91 41
3342 89 42
3435 89 43
3530 91 44
3535 5 45
3714 91 46
3807 89 47
3820 9 48
3995 91 49
4088 91 50
